本数据由邢不行整理,,,,,,,,,,,,,,
基金代码,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
160805.OF,-0.500138229,0.57147244,0.004714406,-0.248073029,-0.028989362,0.104765818,0.463493244,0.127387866,-0.236527105,0.037457709,-0.264616818,0.282071587,0.557482375,0.338277
560002.OF,-0.499887992,0.492464313,-0.142837503,-0.254691259,-0.142457499,0.084818068,0.083044182,0.229175566,-0.257341442,0.00491343,-0.215599534,0.401306025,0.754077526,-0.033329
530001.OF,-0.499458868,0.732642974,0.083874859,-0.207768785,0.009159373,0.158531666,0.132869694,0.549823208,-0.200871098,0.052296912,-0.316191886,0.48981064,0.928580075,0.27359
090001.OF,-0.496543433,0.67960199,0.069549763,-0.263764263,0.011284983,0.011605416,0.314163848,0.490654729,0.025184951,0.03535303,-0.21115024,0.229379816,0.54813521,0.042288
161605.OF,-0.496042216,0.505924063,-0.060121766,-0.190317945,0.028717949,0.069965179,0.356700294,0.328954202,-0.166613298,0.093883704,-0.214545165,0.447698745,0.153207759,0.010651
270001.OF,-0.495056235,0.59478644,-0.00943903,-0.192981097,0.086781223,0.05291052,-0.047567114,0.416806131,-0.163771702,0.314752116,-0.225420767,0.206839231,0.279417552,0.168581
202003.OF,-0.49476036,0.59479726,0.023843955,-0.232598665,0.07463685,0.145931525,0.12732266,0.594860501,-0.161247448,0.357357011,-0.262050241,0.546859903,0.463005411,-0.035035
257030.OF,-0.49400973,0.560794045,-0.038418705,-0.204798077,0.080246914,0.162285714,0.286156072,0.338609361,-0.07841516,0.183229506,-0.212259835,0.395496715,0.557703238,-0.060886
070012.OF,-0.493670886,0.579545455,-0.025899281,-0.240768095,0.194552529,0.073289902,0,-0.040971168,0.05221519,0.344360902,-0.153243848,0.195508587,0.285082873,-0.187837
398021.OF,-0.493020328,0.614225233,0.00493076,-0.373838605,-0.026342114,0.040582192,0.102353135,0.214957456,-0.187738051,0.316744819,-0.355772545,0.218794579,0.45442575,0.578815
519688.OF,-0.488747715,0.781680941,-0.142400795,-0.271350763,0.081327553,0.082814876,0.018460006,0.610312245,0.008609788,0.207108921,-0.162772111,0.584202148,0.550651579,-0.004365
160605.OF,-0.488580385,0.73866888,0.035793962,-0.238803395,0.13413506,0.100180061,0.005581395,0.448658649,-0.234993614,0.128547579,-0.306952663,0.754535752,0.850364964,-0.095003
050001.OF,-0.486981678,0.554511278,-0.055622733,-0.079385403,0.020862309,-0.073569482,0.232352941,0.063245823,-0.09315376,-0.034653465,-0.194871795,0.460191083,0.402399128,-0.017426
100022.OF,-0.484806371,0.991632653,-0.092204948,-0.113078607,0.130076601,0.087735004,0.162301919,0.415043972,-0.089548763,0.352216259,-0.264078688,0.420335196,0.888563551,0.139228
162204.OF,-0.484428972,0.710925267,0.127346767,-0.239900254,0.021150157,0.202731696,0.097578269,0.124688921,-0.301108907,0.246770261,-0.253736135,0.590135722,0.916738409,0.024729
519039.OF,-0.484093417,0.709142755,0.043378519,-0.25124925,-0.048318206,0.167601683,0.440960961,0.291847282,-0.101051816,0.096977963,-0.256707237,0.321859319,0.390809191,0.077814
